gene,rho,pval
ENSG00000105576.14,0.5375325962419805,1.2199136659620194e-33
ENSG00000101199.11,0.5364753774331515,1.721113313995428e-33
ENSG00000107816.16,0.53597212178001,2.0266537979154626e-33
ENSG00000105245.8,0.5354321031212737,2.4143569541805085e-33
ENSG00000063761.14,0.5352795291185429,2.5366203794883672e-33
ENSG00000108819.10,0.5352790431746914,2.5370194118470032e-33
ENSG00000114993.14,0.533396638861719,4.657127471416226e-33
ENSG00000099821.12,0.5328731726788553,5.510374153869875e-33
ENSG00000101216.9,0.5328323744261488,5.583032564013134e-33
ENSG00000102119.9,0.5323572108559906,6.50237344273926e-33
ENSG00000108773.9,0.5322467374809005,6.73671991255226e-33
ENSG00000101940.16,0.5316408407202452,8.178647670469335e-33
ENSG00000079313.10,0.5310794192038962,9.785426774870903e-33
ENSG00000105072.7,0.530783192838256,1.0755312380477852e-32
ENSG00000094631.17,0.5306309894383279,1.1290043703287436e-32
ENSG00000105298.12,0.5306193995245628,1.1331823758484854e-32
ENSG00000013563.12,0.5303963353305513,1.2166414482457822e-32
ENSG00000023191.15,0.5298669235458316,1.4398571943582995e-32
ENSG00000103066.11,0.5296160069199437,1.559363363305945e-32
ENSG00000007866.17,0.5294664830054028,1.6351918488752736e-32
ENSG00000105701.14,0.5292001389414371,1.7794089491198384e-32
ENSG00000074582.11,0.5288811385982377,1.9687791594768662e-32
ENSG00000106683.13,0.5281509009428419,2.480639310786721e-32
ENSG00000115275.10,0.5278478053420903,2.729924574633185e-32
ENSG00000014164.6,0.527677054332185,2.881114547515226e-32
ENSG00000002822.14,0.527411588479522,3.1327761231377955e-32
ENSG00000114650.17,0.5271801010077001,3.3698995155249765e-32
ENSG00000020256.18,0.526297487964551,4.448478285758289e-32
ENSG00000068323.15,0.5260352993751896,4.830221981253963e-32
ENSG00000106246.16,0.5252836473131175,6.113642673897699e-32
ENSG00000101181.16,0.524535337478973,7.725460279475635e-32
ENSG00000103042.7,0.5238381318464165,9.602434656409314e-32
ENSG00000105221.15,0.5237263334418983,9.942770134647076e-32
ENSG00000119242.7,0.5236632878274774,1.0139927114702316e-31
ENSG00000104973.13,0.523508471585662,1.0640631909117043e-31
ENSG00000027847.12,0.5234458220195171,1.0850135498421272e-31
ENSG00000104897.8,0.5228851028791944,1.2916469031858468e-31
ENSG00000071655.16,0.522432970876651,1.4862380761124342e-31
ENSG00000055483.18,0.522425848078487,1.4895248754186779e-31
ENSG00000106263.16,0.5220319851400209,1.6829153738093238e-31
ENSG00000073050.10,0.5219466923151195,1.727960011976718e-31
ENSG00000109065.10,0.5219020109097173,1.752031023951578e-31
ENSG00000105676.12,0.5217743105846097,1.8226704790549564e-31
ENSG00000103496.13,0.5210725683780122,2.2641829681929923e-31
ENSG00000078902.14,0.5210028110916015,2.3134701723415055e-31
ENSG00000020129.14,0.520953201636065,2.349166211733885e-31
ENSG00000068400.12,0.5207714801076546,2.484637579057244e-31
ENSG00000011105.10,0.5206149203013577,2.607528751225135e-31
ENSG00000105726.15,0.5200893406657814,3.0657285607468554e-31
ENSG00000080189.13,0.5196194248957402,3.542327290364273e-31
ENSG00000106290.13,0.5193783391603045,3.814578769341282e-31
